raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1074,2022,1,3,Bahrain Grand Prix,3/20/22,0.625,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,3/18/2022,12/31/1899 12:00:00_PM,3/18/2022,12/31/1899 3:00:00_PM,3/19/2022,12/31/1899 12:00:00_PM,3/19/2022,12/31/1899 3:00:00_PM,\N,\N
1075,2022,2,77,Saudi Arabian Grand Prix,3/27/22,0.708333333,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,3/25/2022,12/31/1899 2:00:00_PM,3/25/2022,12/31/1899 5:00:00_PM,3/26/2022,12/31/1899 2:00:00_PM,3/26/2022,12/31/1899 5:00:00_PM,\N,\N
1076,2022,3,1,Australian Grand Prix,4/10/22,0.208333333,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,4/8/2022,12/31/1899 3:00:00_AM,4/8/2022,12/31/1899 6:00:00_AM,4/9/2022,12/31/1899 3:00:00_AM,4/9/2022,12/31/1899 6:00:00_AM,\N,\N
1078,2022,5,79,Miami Grand Prix,5/8/22,0.8125,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,5/6/2022,12/31/1899 6:30:00_PM,5/6/2022,12/31/1899 9:30:00_PM,5/7/2022,12/31/1899 5:00:00_PM,5/7/2022,12/31/1899 8:00:00_PM,\N,\N
1079,2022,6,4,Spanish Grand Prix,5/22/22,0.541666667,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,5/20/2022,12/31/1899 12:00:00_PM,5/20/2022,12/31/1899 3:00:00_PM,5/21/2022,12/31/1899 11:00:00_AM,5/21/2022,12/31/1899 2:00:00_PM,\N,\N
1080,2022,7,6,Monaco Grand Prix,5/29/22,0.541666667,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,5/27/2022,12/31/1899 12:00:00_PM,5/27/2022,12/31/1899 3:00:00_PM,5/28/2022,12/31/1899 11:00:00_AM,5/28/2022,12/31/1899 2:00:00_PM,\N,\N
1081,2022,8,73,Azerbaijan Grand Prix,6/12/22,0.458333333,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,6/10/2022,12/31/1899 11:00:00_AM,6/10/2022,12/31/1899 2:00:00_PM,6/11/2022,12/31/1899 11:00:00_AM,6/11/2022,12/31/1899 2:00:00_PM,\N,\N
1082,2022,9,7,Canadian Grand Prix,6/19/22,0.75,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,6/17/2022,12/31/1899 6:00:00_PM,6/17/2022,12/31/1899 9:00:00_PM,6/18/2022,12/31/1899 5:00:00_PM,6/18/2022,12/31/1899 8:00:00_PM,\N,\N
1083,2022,10,9,British Grand Prix,7/3/22,0.583333333,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,7/1/2022,12/31/1899 12:00:00_PM,7/1/2022,12/31/1899 3:00:00_PM,7/2/2022,12/31/1899 11:00:00_AM,7/2/2022,12/31/1899 2:00:00_PM,\N,\N
1085,2022,12,34,French Grand Prix,7/24/22,0.541666667,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,7/22/2022,12/31/1899 12:00:00_PM,7/22/2022,12/31/1899 3:00:00_PM,7/23/2022,12/31/1899 11:00:00_AM,7/23/2022,12/31/1899 2:00:00_PM,\N,\N
1086,2022,13,11,Hungarian Grand Prix,7/31/22,0.541666667,http://en.wikipedia.org/wiki/2022_Hungarian_Grand_Prix,7/29/2022,12/31/1899 12:00:00_PM,7/29/2022,12/31/1899 3:00:00_PM,7/30/2022,12/31/1899 11:00:00_AM,7/30/2022,12/31/1899 2:00:00_PM,\N,\N
1087,2022,14,13,Belgian Grand Prix,8/28/22,0.541666667,http://en.wikipedia.org/wiki/2022_Belgian_Grand_Prix,8/26/2022,12/31/1899 12:00:00_PM,8/26/2022,12/31/1899 3:00:00_PM,8/27/2022,12/31/1899 11:00:00_AM,8/27/2022,12/31/1899 2:00:00_PM,\N,\N
1088,2022,15,39,Dutch Grand Prix,9/4/22,0.541666667,http://en.wikipedia.org/wiki/2022_Dutch_Grand_Prix,9/2/2022,12/31/1899 10:30:00_AM,9/2/2022,12/31/1899 2:00:00_PM,9/3/2022,12/31/1899 10:00:00_AM,9/3/2022,12/31/1899 1:00:00_PM,\N,\N
1089,2022,16,14,Italian Grand Prix,9/11/22,0.541666667,http://en.wikipedia.org/wiki/2022_Italian_Grand_Prix,9/9/2022,12/31/1899 12:00:00_PM,9/9/2022,12/31/1899 3:00:00_PM,9/10/2022,12/31/1899 11:00:00_AM,9/10/2022,12/31/1899 2:00:00_PM,\N,\N
